"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"112327","Kierra Smith","F",22,150,57,"Canada","CAN","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 200 metres Breaststroke",NA
"112334","Leah Smith","F",21,178,67,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 400 metres Freestyle","Bronze"
"112334","Leah Smith","F",21,178,67,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 800 metres Freestyle",NA
"112334","Leah Smith","F",21,178,67,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","Gold"
"112339","Lester Edward Smith","M",22,178,NA,"United States","USA","1924 Summer",1924,"Summer","Paris","Swimming","Swimming Men's 400 metres Freestyle",NA
"112344","Lyle Smith (-Kildea)","F",18,169,56,"Australia","AUS","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Women's 100 metres Butterfly",NA
"112350","Trevor Martin Smith","M",18,182,70,"Great Britain","GBR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 100 metres Freestyle",NA
"112350","Trevor Martin Smith","M",22,182,70,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Freestyle",NA
"112350","Trevor Martin Smith","M",22,182,70,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 200 metres Freestyle",NA
"112350","Trevor Martin Smith","M",22,182,70,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"112350","Trevor Martin Smith","M",22,182,70,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Bronze"
"112357","Michelle Marie Smith (-De Bruin)","F",18,160,71,"Ireland","IRL","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 100 metres Backstroke",NA
"112357","Michelle Marie Smith (-De Bruin)","F",18,160,71,"Ireland","IRL","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 200 metres Backstroke",NA
"112357","Michelle Marie Smith (-De Bruin)","F",18,160,71,"Ireland","IRL","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 200 metres Individual Medley",NA
"112357","Michelle Marie Smith (-De Bruin)","F",18,160,71,"Ireland","IRL","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 400 metres Individual Medley",NA
"112357","Michelle Marie Smith (-De Bruin)","F",22,160,71,"Ireland","IRL","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Women's 200 metres Backstroke",NA
"112357","Michelle Marie Smith (-De Bruin)","F",22,160,71,"Ireland","IRL","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Women's 200 metres Individual Medley",NA
"112357","Michelle Marie Smith (-De Bruin)","F",22,160,71,"Ireland","IRL","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Women's 400 metres Individual Medley",NA
"112357","Michelle Marie Smith (-De Bruin)","F",26,160,71,"Ireland","IRL","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 400 metres Freestyle","Gold"
"112357","Michelle Marie Smith (-De Bruin)","F",26,160,71,"Ireland","IRL","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 200 metres Butterfly","Bronze"
"112357","Michelle Marie Smith (-De Bruin)","F",26,160,71,"Ireland","IRL","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 200 metres Individual Medley","Gold"
"112357","Michelle Marie Smith (-De Bruin)","F",26,160,71,"Ireland","IRL","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 400 metres Individual Medley","Gold"
"112359","Miriam Smith","F",17,169,59,"United States","USA","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Women's 200 metres Backstroke",NA
"112395","Shannon Smith","F",14,174,63,"Canada","CAN","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Women's 400 metres Freestyle","Bronze"
"112395","Shannon Smith","F",14,174,63,"Canada","CAN","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Women's 800 metres Freestyle",NA
"112407","Susan Evelyn Smith (-Halak)","F",21,164,59,"Canada","CAN","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Women's 100 metres Butterfly",NA
"112431","Vaughan Andren Smith","M",19,185,87,"Zimbabwe","ZIM","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 50 metres Freestyle",NA
"112431","Vaughan Andren Smith","M",19,185,87,"Zimbabwe","ZIM","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 100 metres Freestyle",NA
"112431","Vaughan Andren Smith","M",19,185,87,"Zimbabwe","ZIM","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 200 metres Freestyle",NA
"112431","Vaughan Andren Smith","M",19,185,87,"Zimbabwe","ZIM","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 200 metres Individual Medley",NA
"112434","Vivienne Smith","F",15,162,63,"Ireland","IRL","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Women's 100 metres Butterfly",NA
"112434","Vivienne Smith","F",15,162,63,"Ireland","IRL","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Women's 200 metres Butterfly",NA
"112453","Eva Anna Gijsberta Smits (-van der Leede)","F",21,NA,NA,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",NA
"112463","Vladimir ""Vlado"" Smokvina","M",15,NA,NA,"Yugoslavia","YUG","1924 Summer",1924,"Summer","Paris","Swimming","Swimming Men's 100 metres Freestyle",NA
"112463","Vladimir ""Vlado"" Smokvina","M",15,NA,NA,"Yugoslavia","YUG","1924 Summer",1924,"Summer","Paris","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"112472","Denisa Smolenov","F",19,182,69,"Slovakia","SVK","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 200 metres Butterfly",NA
"112472","Denisa Smolenov","F",23,182,69,"Slovakia","SVK","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 100 metres Butterfly",NA
"112472","Denisa Smolenov","F",23,182,69,"Slovakia","SVK","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 200 metres Butterfly",NA
"112475","Olivia Smoliga","F",21,188,72,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 100 metres Backstroke",NA
"112475","Olivia Smoliga","F",21,188,72,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"112557","Sng Ju Wei","M",16,177,73,"Singapore","SGP","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 50 metres Freestyle",NA
"112557","Sng Ju Wei","M",16,177,73,"Singapore","SGP","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 100 metres Freestyle",NA
"112557","Sng Ju Wei","M",16,177,73,"Singapore","SGP","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Freestyle",NA
"112557","Sng Ju Wei","M",16,177,73,"Singapore","SGP","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 400 metres Freestyle",NA
"112557","Sng Ju Wei","M",16,177,73,"Singapore","SGP","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"112557","Sng Ju Wei","M",16,177,73,"Singapore","SGP","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"112557","Sng Ju Wei","M",20,177,73,"Singapore","SGP","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 400 metres Freestyle",NA
"112564","Ingvild Nicoline Nerdrum Snildal","F",19,178,NA,"Norway","NOR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 100 metres Butterfly",NA
